model,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std
SVR (RBF),13.670601520543352,6.168825309751492,16.47899327725511,6.233059674426443,-4.135766069992329,12.351979279083988
Ridge,14.199067875720468,7.737283156029579,16.6429907090989,7.444742209902733,-4.42117024945736,10.76306444714357
Linear Regression,14.22447102246064,7.791614224017199,16.665046523965874,7.480922383133867,-4.446819111244641,10.802895980896748
XGBoost,14.899882152462515,7.432846213513245,17.982270415611023,7.373474923929007,-5.831541134629741,16.312636001086627
HistGradientBoosting,15.091385619200414,6.943642021240311,18.068630493029563,6.702863968398556,-5.342815166443498,14.64028988234476
KNN (k=5),15.444872961867851,4.668428481861598,18.52556431541752,5.253514566411186,-4.268125127398638,10.612379322156476
Dummy (mean),15.445561315820912,5.251631367391793,18.290688845032687,5.469970394682446,-2.7679739912343693,6.3450016187287375
Random Forest,15.47504564695634,8.937236886911888,18.135345352449484,8.927600596348913,-7.566696060467293,22.844794219538947
