model,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std
Random Forest,0.274255273510854,0.0438897388289485,0.32762223057541395,0.04644157987759842,0.21164934657709333,0.2187987764529844
HistGradientBoosting,0.27693825315772663,0.0476204900446544,0.33408805356790316,0.05238338251826622,0.17661630663391506,0.25355682079900665
XGBoost,0.27704879800957216,0.04957276489480921,0.3382618057217775,0.05223561466412939,0.15652281772362237,0.2562159792843437
KNN (k=5),0.2904166666666666,0.0479938991107396,0.3453020132836116,0.056255379924347815,0.11873333333333332,0.2875651732892717
Ridge,0.2918692157273876,0.034193752220982906,0.3441188475055676,0.03900574532540093,0.13643754848595913,0.19487863356431626
Linear Regression,0.2921907406602843,0.03445936370404683,0.34426356331042474,0.03927427959014432,0.13556893556428712,0.19570947291340135
SVR (RBF),0.2955090249471562,0.05149891388984612,0.36350762984020923,0.06333567894055978,0.01972572271186107,0.34213365151243447
Dummy (mean),0.3333333333333334,5.551115123125783e-17,0.37267799624996506,1.1102230246251565e-16,0.0,0.0
